block,street_name,latitude,longitude,postal,onemap_address
221B,SUMANG LANE,1.40102194426632,103.895064879651,822221,221B SUMANG LANE MATILDA EDGE SINGAPORE 822221
232A,SUMANG LANE,1.40218146470722,103.891041190731,821232,232A SUMANG LANE MATILDA COURT SINGAPORE 821232
232C,SUMANG LANE,1.40203576124081,103.890116621791,823232,232C SUMANG LANE MATILDA COURT SINGAPORE 823232
227A,SUMANG LANE,1.40358925655806,103.892958748314,821227,227A SUMANG LANE THE VERANDAH @ MATILDA SINGAPORE 821227
260C,PUNGGOL WAY,1.40524575016039,103.896410927147,823260,260C PUNGGOL WAY PUNGGOL TOPAZ SINGAPORE 823260
314A,PUNGGOL WAY,1.40826187839775,103.898017940475,821314,314A PUNGGOL WAY WATERWAY CASCADIA SINGAPORE 821314
265D,PUNGGOL WAY,1.40482604982361,103.89830171747,824265,265D PUNGGOL WAY PUNGGOL EMERALD SINGAPORE 824265
315A,PUNGGOL WAY,1.40831677374217,103.897052983922,821315,315A PUNGGOL WAY WATERWAY CASCADIA SINGAPORE 821315
314B,PUNGGOL WAY,,,,
261C,PUNGGOL WAY,1.40562302458525,103.896470406908,823261,261C PUNGGOL WAY PUNGGOL TOPAZ SINGAPORE 823261
310A,PUNGGOL WALK,1.40870088870466,103.901326604714,821310,310A PUNGGOL WALK WATERWAY TERRACES II SINGAPORE 821310
271A,PUNGGOL WALK,1.40374539652235,103.900318867807,NIL,271A PUNGGOL WALK PCF SPARKLETOTS PRESCHOOL @ PUNGGOL WEST BLK 271A (KN)
212A,PUNGGOL WALK,1.39996056106688,103.898983585947,821212,212A PUNGGOL WALK PUNGGOL WAVES SINGAPORE 821212
271D,PUNGGOL WALK,1.40351432588188,103.90089026171,824271,271D PUNGGOL WALK PUNGGOL RESIDENCES SINGAPORE 824271
212B,PUNGGOL WALK,1.40040423922635,103.899484284229,822212,212B PUNGGOL WALK PUNGGOL WAVES SINGAPORE 822212
211A,PUNGGOL WALK,1.40175984290477,103.899944356053,NIL,211A PUNGGOL WALK BUSY BEES
272D,PUNGGOL WALK,1.40273347530835,103.90046347534,824272,272D PUNGGOL WALK PUNGGOL RESIDENCES SINGAPORE 824272
211B,PUNGGOL WALK,1.40116989540271,103.899920878173,822211,211B PUNGGOL WALK PUNGGOL RIPPLES SINGAPORE 822211
272A,PUNGGOL WALK,1.40314525876874,103.900666001893,821272,272A PUNGGOL WALK PUNGGOL RESIDENCES SINGAPORE 821272
272C,PUNGGOL WALK,1.40285706492636,103.900067172851,823272,272C PUNGGOL WALK PUNGGOL RESIDENCES SINGAPORE 823272
603C,PUNGGOL RD,1.40333319756384,103.907970491724,823603,603C PUNGGOL ROAD PUNGGOL LODGE SINGAPORE 823603
305B,PUNGGOL RD,1.40535191898422,103.906250675312,822305,305B PUNGGOL ROAD TREELODGE@PUNGGOL SINGAPORE 822305
604A,PUNGGOL RD,1.40430971677833,103.907412637205,821604,604A PUNGGOL ROAD PUNGGOL LODGE SINGAPORE 821604
603A,PUNGGOL RD,1.4035301270326,103.908463410662,821603,603A PUNGGOL ROAD PUNGGOL LODGE SINGAPORE 821603
195A,PUNGGOL RD,1.40138691564121,103.90608123416,821195,195A PUNGGOL ROAD THE PERIWINKLE SINGAPORE 821195
195C,PUNGGOL RD,1.40108342244949,103.90676696931,NIL,195C PUNGGOL ROAD EDUVENTURE CHILDCARE CENTRE PTE LTD
305A,PUNGGOL RD,1.40507911812904,103.90670598777,821305,305A PUNGGOL ROAD TREELODGE@PUNGGOL SINGAPORE 821305
603B,PUNGGOL RD,1.40314294041732,103.908316260563,822603,603B PUNGGOL ROAD PUNGGOL LODGE SINGAPORE 822603
195D,PUNGGOL RD,,,,
273D,PUNGGOL PL,1.40252318209096,103.901295922358,824273,273D PUNGGOL PLACE PUNGGOL REGALIA SINGAPORE 824273
209B,PUNGGOL PL,1.39973051378134,103.900935406518,822209,209B PUNGGOL PLACE PUNGGOL CREST SINGAPORE 822209
303D,PUNGGOL PL,1.40423864727245,103.905014998816,824303,303D PUNGGOL PLACE CORALINUS SINGAPORE 824303
