_id,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,z_town_flat,z_block,mo_change,cooling_strength,year,age_years,size_bin,age_bin,expected_price,price_residual,z_residual,price_shock_score,outlier_jump_score,market_defier_raw,market_defier_score,unexplainable_score,wtf_score,wtf_bucket,address,lat,lng
209127,2025-11-01,PASIR RIS,EXECUTIVE,603,ELIAS RD,01 TO 03,149.0,Maisonette,1995,68 years 05 months,1250000.0,4.138251456238262,2.4513545834690094,-0.008064516129032251,0.008064516129032251,2025,30,"(130.0, 200.0]","(20.0, 30.0]",680000.0,570000.0,4.909974708919245,1.0,1.0,0.03337299561482466,0.29169721459452114,1.0,89.38,Valuers rubbed their temples,603 ELIAS RD,1.3768517744619686,103.94371892509224
210111,2025-11-01,PUNGGOL,4 ROOM,271B,PUNGGOL WALK,16 TO 18,94.0,Premium Apartment,2014,87 years 06 months,848000.0,3.256484415225231,1.784497978750724,-0.008064516129032251,0.008064516129032251,2025,11,"(80.0, 100.0]","(10.0, 20.0]",528888.0,319112.0,2.3997791680342684,1.0,1.0,0.026261971090526033,0.18259213199769325,1.0,87.74,Valuers rubbed their temples,271B PUNGGOL WALK,1.4041673072633216,103.9005786943718
201751,2025-11-01,BUKIT PANJANG,4 ROOM,183,JELEBU RD,16 TO 18,91.0,Premium Apartment,2003,76 years 07 months,860000.0,4.316396235146503,1.9105966392215084,-0.008064516129032251,0.008064516129032251,2025,22,"(80.0, 100.0]","(20.0, 30.0]",490000.0,370000.0,3.272237595894958,0.9624413145539906,1.0,0.03480964705763306,0.28299080936591386,0.934996343544324,86.31,Valuers rubbed their temples,183 JELEBU RD,1.379963849382463,103.76304825943106
214360,2025-11-01,SERANGOON,4 ROOM,414,SERANGOON CTRL,07 TO 09,113.0,Model A,1989,62 years 03 months,965000.0,3.5050367874060924,1.8739330673176056,-0.008064516129032251,0.008064516129032251,2025,36,"(100.0, 130.0]","(30.0, 40.0]",635000.0,330000.0,2.67657113602991,1.0,1.0,0.028266425704887816,0.17175068388988832,1.0,87.58,Valuers rubbed their temples,414 SERANGOON CTRL,1.34880894392208,103.87440595024935
216409,2025-11-01,TOA PAYOH,3 ROOM,101A,BIDADARI PK DR,10 TO 12,68.0,Model A,2021,94 years 08 months,900000.0,4.261795033153016,1.517683231453001,-0.008064516129032251,0.008064516129032251,2025,4,"(60.0, 80.0]","(-0.001, 10.0]",721400.0,178600.0,1.9441009384242343,0.8378908343910056,1.0,0.03436931478349203,0.14326237208214357,0.6249999999999999,72.1,Interesting eyebrow-raiser,101A BIDADARI PK DR,1.3368546317037442,103.87099627585661
206117,2025-11-01,JURONG EAST,4 ROOM,271,TOH GUAN RD,19 TO 21,100.0,Model A,1999,72 years 05 months,750000.0,3.651619357034721,1.8600474149155137,-0.008064516129032251,0.008064516129032251,2025,26,"(80.0, 100.0]","(20.0, 30.0]",485000.0,265000.0,3.2421034270454636,1.0,1.0,0.029448543201892885,0.18142415946735282,1.0,87.72,Valuers rubbed their temples,271 TOH GUAN RD,1.3416819792900583,103.74624556104942
214112,2025-11-01,SENGKANG,EXECUTIVE,205B,COMPASSVALE LANE,10 TO 12,143.0,Maisonette,1999,72 years 07 months,1005000.0,3.2160308508997244,1.8643735071631302,-0.008064516129032251,0.008064516129032251,2025,26,"(130.0, 200.0]","(20.0, 30.0]",738000.0,267000.0,2.698201462460272,1.0,1.0,0.02593573266854614,0.29451155283168345,1.0,89.42,Valuers rubbed their temples,205B COMPASSVALE LANE,1.3855601946756053,103.8967444765832
203273,2025-11-01,CHOA CHU KANG,5 ROOM,641,CHOA CHU KANG ST 64,16 TO 18,123.0,Premium Apartment,1998,71 years 03 months,815000.0,2.700615906847566,2.1039026175175835,-0.008064516129032251,0.008064516129032251,2025,27,"(100.0, 130.0]","(20.0, 30.0]",540000.0,275000.0,3.131456336229559,1.0,1.0,0.021779160539093255,0.17752574373418584,1.0,87.66,Valuers rubbed their temples,641 CHOA CHU KANG ST 64,1.398304543177744,103.7498178443638
205311,2025-11-01,HOUGANG,4 ROOM,832,HOUGANG CTRL,10 TO 12,104.0,Model A,1992,66 years,798888.0,2.734417300419394,1.773467004774936,-0.008064516129032251,0.008064516129032251,2025,33,"(100.0, 130.0]","(30.0, 40.0]",500000.0,298888.0,3.1105327340015014,0.5785379310344827,1.0,0.022051752422737027,0.12943321131485783,1.0,72.19,Interesting eyebrow-raiser,832 HOUGANG CTRL,1.3706342044149693,103.88979906397395
205472,2025-11-01,HOUGANG,4 ROOM,365B,UPP SERANGOON RD,04 TO 06,92.0,Model A,2018,91 years 04 months,860000.0,3.282119069539845,2.3571582908279316,-0.008064516129032251,0.008064516129032251,2025,7,"(80.0, 100.0]","(-0.001, 10.0]",605000.0,255000.0,2.6390559116246957,1.0,1.0,0.026468702173708402,0.18125114607774484,1.0,87.72,Valuers rubbed their temples,365B UPP SERANGOON RD,1.369204209823721,103.8975129294663
